literal	pos	family	voice	note
單薄	u			no-source;fallback
單調	u			no-source;fallback
單身	u			no-source;fallback
單身貴族	u			no-source;fallback
單門獨户	u			no-source;fallback
喱	u			no-source;fallback
喲	u			no-source;fallback
喳	u			no-source;fallback
喵	u			no-source;fallback
喺度	u			no-source;fallback
嗄	u			no-source;fallback
嗌交	u			no-source;fallback
嗎	u			no-source;fallback
嗚	u			no-source;fallback
嗚乎哀哉	u			no-source;fallback
嗚呼哀哉	u			no-source;fallback
嗜殺成性	u			no-source;fallback
嗜痂成癖	u			no-source;fallback
嗜血桿菌	u			no-source;fallback
嗜酒如命	u			no-source;fallback
嗜酒成性	u			no-source;fallback
嗬	u			no-source;fallback
嗯	u			no-source;fallback
嗰	u			no-source;fallback
嗰個	u			no-source;fallback
嗰啲	u			no-source;fallback
嗰度	u			no-source;fallback
嗰日	u			no-source;fallback
嗰時	u			no-source;fallback
嗰晚	u			no-source;fallback
嗰次	u			no-source;fallback
嗰種	u			no-source;fallback
嗰陣	u			no-source;fallback
嗲	u			no-source;fallback
嗲聲嗲氣	u			no-source;fallback
嘁嘁喳喳	u			no-source;fallback
嘅	u			no-source;fallback
嘅嘢	u			no-source;fallback
嘅樣	u			no-source;fallback
嘅話	u			no-source;fallback
嘆	u			no-source;fallback
嘈	u			no-source;fallback
嘈交	u			no-source;fallback
嘈吵	u			no-source;fallback
嘈喧巴閉	u			no-source;fallback
嘉	u			no-source;fallback
嘉年華會	u			no-source;fallback
嘉賓	u			no-source;fallback
嘍	u			no-source;fallback
嘎嘎	u			no-source;fallback
嘔	u			no-source;fallback
嘔心	u			no-source;fallback
嘔心瀝血	u			no-source;fallback
嘖	u			no-source;fallback
嘖嘖稱奇	u			no-source;fallback
嘛	u			no-source;fallback
嘞	u			no-source;fallback
嘟	u			no-source;fallback
嘢	u			no-source;fallback
嘢食	u			no-source;fallback
嘥	u			no-source;fallback
嘩	u			no-source;fallback
嘩啦一聲	u			no-source;fallback
嘭	u			no-source;fallback
嘮嘮叨叨	u			no-source;fallback
嘰哩咕嚕	u			no-source;fallback
嘰嘰咕咕	u			no-source;fallback
嘰嘰喳喳	u			no-source;fallback
嘰嘰嘎嘎	u			no-source;fallback
嘰裏咕嚕	u			no-source;fallback
嘴巴	u			no-source;fallback
嘴角	u			no-source;fallback
嘻	u			no-source;fallback
嘻嘻哈哈	u			no-source;fallback
嘻皮笑臉	u			no-source;fallback
嘿	u			no-source;fallback
嘿嘿	u			no-source;fallback
噉	u			no-source;fallback
噉樣	u			no-source;fallback
噏	u			no-source;fallback
噓	u			no-source;fallback
噗	u			no-source;fallback
噠	u			no-source;fallback
噢	u			no-source;fallback
噤聲	u			no-source;fallback
器	u			no-source;fallback
器件	u			no-source;fallback
器材	u			no-source;fallback
噩耗	u			no-source;fallback
噬	u			no-source;fallback
噬臍莫及	u			no-source;fallback
噶	u			no-source;fallback
噹	u			no-source;fallback
噼	u			no-source;fallback
嚇親	u			no-source;fallback
嚓	u			no-source;fallback
嚟	u			no-source;fallback
嚟㗎	u			no-source;fallback
嚟到	u			no-source;fallback
嚟講	u			no-source;fallback
嚮	u			no-source;fallback
嚮導	u			no-source;fallback
嚴以律己	u			no-source;fallback
嚴刑峻法	u			no-source;fallback
嚴刑拷打	u			no-source;fallback
嚴刑逼供	u			no-source;fallback
嚴嚴實實	u			no-source;fallback
嚴懲不貸	u			no-source;fallback
嚴整	u			no-source;fallback
嚴於律己	u			no-source;fallback
嚴格	u			no-source;fallback
嚴正	u			no-source;fallback
嚴正聲明	u			no-source;fallback
嚴絲合縫	u			no-source;fallback
嚴辦	u			no-source;fallback
嚴酷	u			no-source;fallback
囂張	u			no-source;fallback
囂張氣焰	u			no-source;fallback
囉	u			no-source;fallback
囉嗦	u			no-source;fallback
囊中羞澀	u			no-source;fallback
四世同堂	u			no-source;fallback
四分五裂	u			no-source;fallback
四則運算	u			no-source;fallback
四周	u			no-source;fallback
四圍	u			no-source;fallback
四大名著	u			no-source;fallback
四大天王	u			no-source;fallback
四大石窟	u			no-source;fallback
四大美女	u			no-source;fallback
四季如春	u			no-source;fallback
四川	u			no-source;fallback
四散奔逃	u			no-source;fallback
四方八面	u			no-source;fallback
四書五經	u			no-source;fallback
四氯乙烯	u			no-source;fallback
四海一家	u			no-source;fallback
四肢	u			no-source;fallback
四肢無力	u			no-source;fallback
四腳朝天	u			no-source;fallback
四處	u			no-source;fallback
四處奔走	u			no-source;fallback
四處尋找	u			no-source;fallback
四處張望	u			no-source;fallback
四角號碼	u			no-source;fallback
四門轎車	u			no-source;fallback
四面八方	u			no-source;fallback
四點	u			no-source;fallback
回光反照	u			no-source;fallback
回升	u			no-source;fallback
回復	u			no-source;fallback
回應	u			no-source;fallback
回望	u			no-source;fallback
回歸	u			no-source;fallback
回眸一笑	u			no-source;fallback
回程	u			no-source;fallback
回落	u			no-source;fallback
回頭	u			no-source;fallback
因人成事	u			no-source;fallback
因公殉職	u			no-source;fallback
因小失大	u			no-source;fallback
因式分解	u			no-source;fallback
因循守舊	u			no-source;fallback
因材施教	u			no-source;fallback
因果	u			no-source;fallback
因果報應	u			no-source;fallback
因此	u			no-source;fallback
因爲	u			no-source;fallback
因紐特人	u			no-source;fallback
因緣際會	u			no-source;fallback
因而	u			no-source;fallback
囡	u			no-source;fallback
囤積居奇	u			no-source;fallback
囫圇吞棗	u			no-source;fallback
困	u			no-source;fallback
困守	u			no-source;fallback
困惑不解	u			no-source;fallback
困難重重	u			no-source;fallback
固執己見	u			no-source;fallback
固定價格	u			no-source;fallback
固定資產	u			no-source;fallback
固定資金	u			no-source;fallback
固體物理	u			no-source;fallback
固體物質	u			no-source;fallback
圈子	u			no-source;fallback
國事訪問	u			no-source;fallback
國人	u			no-source;fallback
國企	u			no-source;fallback
國債	u			no-source;fallback
國內	u			no-source;fallback
國內外	u			no-source;fallback
國內戰爭	u			no-source;fallback
國內生產	u			no-source;fallback
國內貿易	u			no-source;fallback
國務部長	u			no-source;fallback
國務院	u			no-source;fallback
國外	u			no-source;fallback
國外貿易	u			no-source;fallback
國家代碼	u			no-source;fallback
國家元首	u			no-source;fallback
國家公園	u			no-source;fallback
國家利益	u			no-source;fallback
國家制度	u			no-source;fallback
國家標準	u			no-source;fallback
國家機器	u			no-source;fallback
國家機密	u			no-source;fallback
國家機關	u			no-source;fallback
國家權力	u			no-source;fallback
國家考試	u			no-source;fallback
國家興亡	u			no-source;fallback
國家銀行	u			no-source;fallback
國家隊	u			no-source;fallback
國家預算	u			no-source;fallback
國家體委	u			no-source;fallback
國度	u			no-source;fallback
國情	u			no-source;fallback
國慶	u			no-source;fallback
國有化	u			no-source;fallback
國民大會	u			no-source;fallback
國泰民安	u			no-source;fallback
國營企業	u			no-source;fallback
國破家亡	u			no-source;fallback
國計民生	u			no-source;fallback
國防部長	u			no-source;fallback
國際	u			no-source;fallback
國際公制	u			no-source;fallback
國際公法	u			no-source;fallback
國際公約	u			no-source;fallback
國際化	u			no-source;fallback
國際慣例	u			no-source;fallback
國際新聞	u			no-source;fallback
國際標準	u			no-source;fallback
國際機場	u			no-source;fallback
國際法庭	u			no-source;fallback
國際法院	u			no-source;fallback
國際私法	u			no-source;fallback
國際聯盟	u			no-source;fallback
國際象棋	u			no-source;fallback
國際貿易	u			no-source;fallback
國際足聯	u			no-source;fallback
國際跳棋	u			no-source;fallback
國際都市	u			no-source;fallback
國際關係	u			no-source;fallback
國際音標	u			no-source;fallback
圍	u			no-source;fallback
圍觀	u			no-source;fallback
圓桌會議	u			no-source;fallback
圓鑿方枘	u			no-source;fallback
圖形	u			no-source;fallback
圖形界面	u			no-source;fallback
圖文	u			no-source;fallback
圖文並茂	u			no-source;fallback
圖書管理員	u			no-source;fallback
圖書館員	u			no-source;fallback
圖騰	u			no-source;fallback
圖騰崇拜	u			no-source;fallback
團團圍住	u			no-source;fallback
團長	u			no-source;fallback
土地改革	u			no-source;fallback
土氣	u			no-source;fallback
土生土長	u			no-source;fallback
土耳其	u			no-source;fallback
土耳其語	u			no-source;fallback
土裏土氣	u			no-source;fallback
土豪劣紳	u			no-source;fallback
在乎	u			no-source;fallback
在劫難逃	u			no-source;fallback
在商言商	u			no-source;fallback
在場	u			no-source;fallback
在家	u			no-source;fallback
在所不計	u			no-source;fallback
在所難免	u			no-source;fallback
在校	u			no-source;fallback
在真空中	u			no-source;fallback
在線	u			no-source;fallback
在職	u			no-source;fallback
地主家庭	u			no-source;fallback
地主階級	u			no-source;fallback
地利人和	u			no-source;fallback
地勤	u			no-source;fallback
地區差價	u			no-source;fallback
地區衝突	u			no-source;fallback
地學	u			no-source;fallback
地底	u			no-source;fallback
地庫	u			no-source;fallback
地心吸力	u			no-source;fallback
地心引力	u			no-source;fallback
地方停車	u			no-source;fallback
地方國營	u			no-source;fallback
地方武裝	u			no-source;fallback
地方法院	u			no-source;fallback
地標	u			no-source;fallback
地步	u			no-source;fallback
地殼運動	u			no-source;fallback
地熱資源	u			no-source;fallback
地球大氣	u			no-source;fallback
地球科學	u			no-source;fallback
地理位置	u			no-source;fallback
地理學家	u			no-source;fallback
地理環境	u			no-source;fallback
地痞	u			no-source;fallback
地痞流氓	u			no-source;fallback
地盤	u			no-source;fallback
地緣戰略	u			no-source;fallback
地緣政治	u			no-source;fallback
地老天荒	u			no-source;fallback
地覆天翻	u			no-source;fallback
地質	u			no-source;fallback
地質學家	u			no-source;fallback
地道	u			no-source;fallback
地震震級	u			no-source;fallback
地震預報	u			no-source;fallback
地靈人傑	u			no-source;fallback
地頭	u			no-source;fallback
坎坷	u			no-source;fallback
坐井觀天	u			no-source;fallback
坐享其成	u			no-source;fallback
坐以待斃	u			no-source;fallback
坐低	u			no-source;fallback
坐卧不寧	u			no-source;fallback
坐失良機	u			no-source;fallback
坐收漁利	u			no-source;fallback
坐監	u			no-source;fallback
坐立難安	u			no-source;fallback
坐視不理	u			no-source;fallback
坐骨神經	u			no-source;fallback
坑坑窪窪	u			no-source;fallback
坑蒙拐騙	u			no-source;fallback
坦桑尼亞	u			no-source;fallback
坦然	u			no-source;fallback
坦率	u			no-source;fallback
坦白從寬	u			no-source;fallback
坦蕩	u			no-source;fallback
坦言	u			no-source;fallback
坦誠	u			no-source;fallback
坦途	u			no-source;fallback
垂直	u			no-source;fallback
垂直搜索	u			no-source;fallback
垂簾聽政	u			no-source;fallback
垂頭喪氣	u			no-source;fallback
型	u			no-source;fallback
埃德蒙頓	u			no-source;fallback
埋位	u			no-source;fallback
埋嚟	u			no-source;fallback
埋沒	u			no-source;fallback
城區	u			no-source;fallback
城市區域	u			no-source;fallback
城市居民	u			no-source;fallback
城市熱島	u			no-source;fallback
城市貧民	u			no-source;fallback
城鎮居民	u			no-source;fallback
域名	u			no-source;fallback
域名搶注	u			no-source;fallback
域名註冊	u			no-source;fallback
執	u			no-source;fallback
執政方式	u			no-source;fallback
執業	u			no-source;fallback
執行董事	u			no-source;fallback
執迷不悟	u			no-source;fallback
培訓班	u			no-source;fallback
基	u			no-source;fallback
基因改造	u			no-source;fallback
基尼係數	u			no-source;fallback
基底動脈	u			no-source;fallback
基本	u			no-source;fallback
基本國策	u			no-source;fallback
基本建設	u			no-source;fallback
基本法	u			no-source;fallback
基本矛盾	u			no-source;fallback
基本詞彙	u			no-source;fallback
基礎教育	u			no-source;fallback
基礎科學	u			no-source;fallback
基礎結構	u			no-source;fallback
基站	u			no-source;fallback
基里巴斯	u			no-source;fallback
堂	u			no-source;fallback
堂吉訶德	u			no-source;fallback
堂堂正正	u			no-source;fallback
堂而皇之	u			no-source;fallback
堅	u			no-source;fallback
堅不可摧	u			no-source;fallback
堅壁清野	u			no-source;fallback
堅定	u			no-source;fallback
堅強	u			no-source;fallback
堅持不渝	u			no-source;fallback
堅挺	u			no-source;fallback
堅毅不屈	u			no-source;fallback
堅決否認	u			no-source;fallback
堅硬	u			no-source;fallback
堅貞不屈	u			no-source;fallback
堅貞不渝	u			no-source;fallback
堆積如山	u			no-source;fallback
堡	u			no-source;fallback
堪輿	u			no-source;fallback
堯天舜日	u			no-source;fallback
報刊雜誌	u			no-source;fallback
報到	u			no-source;fallback
報名	u			no-source;fallback
報告文學	u			no-source;fallback
報案	u			no-source;fallback
報警	u			no-source;fallback
場景	u			no-source;fallback
場面	u			no-source;fallback
堵	u			no-source;fallback
塑料袋	u			no-source;fallback
塔塔爾族	u			no-source;fallback
塔里木河	u			no-source;fallback
塘	u			no-source;fallback
塞內加爾	u			no-source;fallback
塞拉利昂	u			no-source;fallback
塞浦路斯	u			no-source;fallback
塞爾維亞	u			no-source;fallback
塞翁失馬	u			no-source;fallback
塞車	u			no-source;fallback
填字遊戲	u			no-source;fallback
填海造地	u			no-source;fallback
塵土飛揚	u			no-source;fallback
塵埃落定	u			no-source;fallback
境內	u			no-source;fallback
境外	u			no-source;fallback
境界	u			no-source;fallback
墊	u			no-source;fallback
墊底	u			no-source;fallback
墜	u			no-source;fallback
增收	u			no-source;fallback
增肥	u			no-source;fallback
增長速度	u			no-source;fallback
墨守成規	u			no-source;fallback
墨西哥城	u			no-source;fallback
墨西哥灣	u			no-source;fallback
墳場	u			no-source;fallback
壁紙	u			no-source;fallback
壓寨夫人	u			no-source;fallback
壞人	u			no-source;fallback
壞話	u			no-source;fallback
士多	u			no-source;fallback
士多啤梨	u			no-source;fallback
士農工商	u			no-source;fallback
壯志凌雲	u			no-source;fallback
壽終正寢	u			no-source;fallback
壽險	u			no-source;fallback
夏目漱石	u			no-source;fallback
夕	u			no-source;fallback
夕陽	u			no-source;fallback
夕陽產業	u			no-source;fallback
夕陽西下	u			no-source;fallback
外交代表	u			no-source;fallback
外交使節	u			no-source;fallback
外交特權	u			no-source;fallback
外交部	u			no-source;fallback
外交部長	u			no-source;fallback
外交關係	u			no-source;fallback
外來物種	u			no-source;fallback
外便	u			no-source;fallback
外剛內柔	u			no-source;fallback
外匯收入	u			no-source;fallback
外商	u			no-source;fallback
外國	u			no-source;fallback
外國資本	u			no-source;fallback
外圓內方	u			no-source;fallback
外地	u			no-source;fallback
外太空	u			no-source;fallback
外展神經	u			no-source;fallback
外層空間	u			no-source;fallback
外幣存款	u			no-source;fallback
外強中乾	u			no-source;fallback
外患	u			no-source;fallback
外柔內剛	u			no-source;fallback
外牆	u			no-source;fallback
外生殖器	u			no-source;fallback
外界	u			no-source;fallback
外界壓力	u			no-source;fallback
外界影響	u			no-source;fallback
外籍華人	u			no-source;fallback
外行	u			no-source;fallback
外貿	u			no-source;fallback
外資	u			no-source;fallback
外賣	u			no-source;fallback
外邊	u			no-source;fallback
外部連接	u			no-source;fallback
外部鏈接	u			no-source;fallback
外面	u			no-source;fallback
多久	u			no-source;fallback
多事	u			no-source;fallback
多位	u			no-source;fallback
多個	u			no-source;fallback
多功能表	u			no-source;fallback
多勞多得	u			no-source;fallback
多嘢	u			no-source;fallback
多嘴	u			no-source;fallback
多嘴多舌	u			no-source;fallback
多國部隊	u			no-source;fallback
多士爐	u			no-source;fallback
多多	u			no-source;fallback
多多少少	u			no-source;fallback
多姿多彩	u			no-source;fallback
多姿多采	u			no-source;fallback
多子多福	u			no-source;fallback
多少	u			no-source;fallback
多少錢	u			no-source;fallback
多年	u			no-source;fallback
多年來	u			no-source;fallback
多彩多姿	u			no-source;fallback
多得	u			no-source;fallback
多才多藝	u			no-source;fallback
多方	u			no-source;fallback
多方面	u			no-source;fallback
多模光纖	u			no-source;fallback
多次	u			no-source;fallback
多種	u			no-source;fallback
多種多樣	u			no-source;fallback
多種經營	u			no-source;fallback
多管閒事	u			no-source;fallback
多管齊下	u			no-source;fallback
多米尼克	u			no-source;fallback
多胎妊娠	u			no-source;fallback
多謀善斷	u			no-source;fallback
多謝	u			no-source;fallback
多退少補	u			no-source;fallback
多邊合作	u			no-source;fallback
多重	u			no-source;fallback
多重人格	u			no-source;fallback
多重選擇	u			no-source;fallback
多難興邦	u			no-source;fallback
多餘	u			no-source;fallback
多麼	u			no-source;fallback
夜不歸宿	u			no-source;fallback
夜以繼日	u			no-source;fallback
夜場	u			no-source;fallback
夜夜	u			no-source;fallback
夜夜笙歌	u			no-source;fallback
夜幕低垂	u			no-source;fallback
夜幕降臨	u			no-source;fallback
夜深人靜	u			no-source;fallback
夜貓	u			no-source;fallback
夜長夢多	u			no-source;fallback
夠膽	u			no-source;fallback
夠鐘	u			no-source;fallback
夢中人	u			no-source;fallback
夢中情人	u			no-source;fallback
夢境	u			no-source;fallback
夢寐以求	u			no-source;fallback
夢幻泡影	u			no-source;fallback
夢想成真	u			no-source;fallback
夢溪筆談	u			no-source;fallback
大丈夫	u			no-source;fallback
大不了	u			no-source;fallback
大不如前	u			no-source;fallback
大事	u			no-source;fallback
大事不妙	u			no-source;fallback
大事化小	u			no-source;fallback
大件	u			no-source;fallback
大件事	u			no-source;fallback
大佬	u			no-source;fallback
大便乾燥	u			no-source;fallback
大個	u			no-source;fallback
大傷元氣	u			no-source;fallback
大傷腦筋	u			no-source;fallback
大全	u			no-source;fallback
大公無私	u			no-source;fallback
大出血	u			no-source;fallback
大刀闊斧	u			no-source;fallback
大力	u			no-source;fallback
大勢已去	u			no-source;fallback
大勢所趨	u			no-source;fallback
大包大攬	u			no-source;fallback
大千世界	u			no-source;fallback
大半	u			no-source;fallback
大叔	u			no-source;fallback
大受歡迎	u			no-source;fallback
大可不必	u			no-source;fallback
大吃一驚	u			no-source;fallback
大吃大喝	u			no-source;fallback
大吉利是	u			no-source;fallback
大吉大利	u			no-source;fallback
大同世界	u			no-source;fallback
大吐苦水	u			no-source;fallback
大吹大擂	u			no-source;fallback
大呼小叫	u			no-source;fallback
大哥	u			no-source;fallback
大喊大叫	u			no-source;fallback
大喝一聲	u			no-source;fallback
大嗌	u			no-source;fallback
大地回春	u			no-source;fallback
大型	u			no-source;fallback
大型企業	u			no-source;fallback
大城市	u			no-source;fallback
大堂	u			no-source;fallback
大塊朵頤	u			no-source;fallback
大大	u			no-source;fallback
大大力	u			no-source;fallback
大大咧咧	u			no-source;fallback
大大小小	u			no-source;fallback
大大話話	u			no-source;fallback
大失所望	u			no-source;fallback
大好前程	u			no-source;fallback
大姐	u			no-source;fallback
大嬸	u			no-source;fallback
大學生	u			no-source;fallback
大家	u			no-source;fallback
大家閨秀	u			no-source;fallback
大富大貴	u			no-source;fallback
大專學生	u			no-source;fallback
大專院校	u			no-source;fallback
大小姐	u			no-source;fallback
大展宏圖	u			no-source;fallback
大展身手	u			no-source;fallback
大展鴻圖	u			no-source;fallback
大師	u			no-source;fallback
大幅度	u			no-source;fallback
大幹一場	u			no-source;fallback
大庭廣眾	u			no-source;fallback
大廈將傾	u			no-source;fallback
大張旗鼓	u			no-source;fallback
大徹大悟	u			no-source;fallback
大快朵頤	u			no-source;fallback
大惑不解	u			no-source;fallback
大戰	u			no-source;fallback
大手大腳	u			no-source;fallback
大打出手	u			no-source;fallback
大打折扣	u			no-source;fallback
大把	u			no-source;fallback
大排長龍	u			no-source;fallback
大提琴手	u			no-source;fallback
大搖大擺	u			no-source;fallback
大放厥詞	u			no-source;fallback
大放異彩	u			no-source;fallback
大政方針	u			no-source;fallback
大方	u			no-source;fallback
大於	u			no-source;fallback
大日如來	u			no-source;fallback
大是大非	u			no-source;fallback
大智若愚	u			no-source;fallback
大有	u			no-source;fallback
大有人在	u			no-source;fallback
大有可為	u			no-source;fallback
大有希望	u			no-source;fallback
大有文章	u			no-source;fallback
大材小用	u			no-source;fallback
大模大樣	u			no-source;fallback
大權在握	u			no-source;fallback
大權獨攬	u			no-source;fallback
大氣壓力	u			no-source;fallback
大氣壓強	u			no-source;fallback
大氣環流	u			no-source;fallback
大汗淋漓	u			no-source;fallback
大江南北	u			no-source;fallback
大漢	u			no-source;fallback
大漢民族	u			no-source;fallback
大火	u			no-source;fallback
大煞風景	u			no-source;fallback
大獲全勝	u			no-source;fallback
大班	u			no-source;fallback
大田作物	u			no-source;fallback
大病初癒	u			no-source;fallback
大發慈悲	u			no-source;fallback
大相徑庭	u			no-source;fallback
大眾	u			no-source;fallback
大眾運輸	u			no-source;fallback
大禍臨頭	u			no-source;fallback
大禹治水	u			no-source;fallback
大笨象	u			no-source;fallback
大粒	u			no-source;fallback
大紅大紫	u			no-source;fallback
大紅大綠	u			no-source;fallback
大綱	u			no-source;fallback
大而化之	u			no-source;fallback
大聲喊叫	u			no-source;fallback
大脾	u			no-source;fallback
大腦皮層	u			no-source;fallback
大腸桿菌	u			no-source;fallback
大腹便便	u			no-source;fallback
大膽	u			no-source;fallback
大自然	u			no-source;fallback
大興土木	u			no-source;fallback
大舉進攻	u			no-source;fallback
大衆	u			no-source;fallback
大行其道	u			no-source;fallback
大街小巷	u			no-source;fallback
大言不慚	u			no-source;fallback
大話	u			no-source;fallback
大談特談	u			no-source;fallback
大謬不然	u			no-source;fallback
大費周章	u			no-source;fallback
大起大落	u			no-source;fallback
大軍	u			no-source;fallback
大選	u			no-source;fallback
大部分	u			no-source;fallback
大都	u			no-source;fallback
大酒店	u			no-source;fallback
大醇小疵	u			no-source;fallback
大量生產	u			no-source;fallback
大錯特錯	u			no-source;fallback
大鑊	u			no-source;fallback
大門	u			no-source;fallback
大開殺戒	u			no-source;fallback
大開眼界	u			no-source;fallback
大陸	u			no-source;fallback
大陸漂移	u			no-source;fallback
大隊	u			no-source;fallback
大隻	u			no-source;fallback
大隻佬	u			no-source;fallback
大雜院	u			no-source;fallback
大難臨頭	u			no-source;fallback
大雨	u			no-source;fallback
大雪紛飛	u			no-source;fallback
大面積	u			no-source;fallback
大頭	u			no-source;fallback
大顯神威	u			no-source;fallback
大顯身手	u			no-source;fallback
大飽眼福	u			no-source;fallback
大駕光臨	u			no-source;fallback
大驚失色	u			no-source;fallback
大驚小怪	u			no-source;fallback
大魚大肉	u			no-source;fallback
大鳴大放	u			no-source;fallback
天下一家	u			no-source;fallback
天下無敵	u			no-source;fallback
天下無雙	u			no-source;fallback
天下興亡	u			no-source;fallback
天主教堂	u			no-source;fallback
天主教徒	u			no-source;fallback
天主教會	u			no-source;fallback
天人交戰	u			no-source;fallback
天人合一	u			no-source;fallback
天人永隔	u			no-source;fallback
天光	u			no-source;fallback
天兵天將	u			no-source;fallback
天台	u			no-source;fallback
天各一方	u			no-source;fallback
天地	u			no-source;fallback
天地不容	u			no-source;fallback
天地良心	u			no-source;fallback
天地萬物	u			no-source;fallback
天塌地陷	u			no-source;fallback
天外來客	u			no-source;fallback
天外有天	u			no-source;fallback
天天	u			no-source;fallback
天女散花	u			no-source;fallback
天妒英才	u			no-source;fallback
天姿國色	u			no-source;fallback
天寒地凍	u			no-source;fallback
天崩地裂	u			no-source;fallback
天差地別	u			no-source;fallback
天干地支	u			no-source;fallback
天怒人怨	u			no-source;fallback
天才兒童	u			no-source;fallback
天打雷劈	u			no-source;fallback
天搖地動	u			no-source;fallback
天擇	u			no-source;fallback
天文數字	u			no-source;fallback
天方夜譚	u			no-source;fallback
天星碼頭	u			no-source;fallback
天時地利	u			no-source;fallback
天晴	u			no-source;fallback
天朗氣清	u			no-source;fallback
天橋	u			no-source;fallback
天氣形勢	u			no-source;fallback
天氣預報	u			no-source;fallback
天氣預測	u			no-source;fallback
天河	u			no-source;fallback
天津	u			no-source;fallback
天涯海角	u			no-source;fallback
天然氣	u			no-source;fallback
天然資源	u			no-source;fallback
天理不容	u			no-source;fallback
天理難容	u			no-source;fallback
天生	u			no-source;fallback
天生麗質	u			no-source;fallback
天真	u			no-source;fallback
天真無邪	u			no-source;fallback
天網恢恢	u			no-source;fallback
天線寶寶	u			no-source;fallback
天色	u			no-source;fallback
天色已晚	u			no-source;fallback
天荒地老	u			no-source;fallback
天誅地滅	u			no-source;fallback
天賜良緣	u			no-source;fallback
天造地設	u			no-source;fallback
天長日久	u			no-source;fallback
天香國色	u			no-source;fallback
天馬行空	u			no-source;fallback
天體物理	u			no-source;fallback
天高地厚	u			no-source;fallback
天高氣爽	u			no-source;fallback
天黑	u			no-source;fallback
太上老君	u			no-source;fallback
太僕寺旗	u			no-source;fallback
太原	u			no-source;fallback
太大	u			no-source;fallback
太子	u			no-source;fallback
太少	u			no-source;fallback
太平	u			no-source;fallback
太平天國	u			no-source;fallback
太平洋	u			no-source;fallback
太平盛世	u			no-source;fallback
太平紳士	u			no-source;fallback
太平龍頭	u			no-source;fallback
太空舞步	u			no-source;fallback
太空船	u			no-source;fallback
太空行走	u			no-source;fallback
太空飛船	u			no-source;fallback
太陽活動	u			no-source;fallback
太陽眼鏡	u			no-source;fallback
太陽能板	u			no-source;fallback
太陽能電池	u			no-source;fallback
太陽輻射	u			no-source;fallback
太陽電池	u			no-source;fallback
太陽黑子	u			no-source;fallback
夫人	u			no-source;fallback
夫妻反目	u			no-source;fallback
央行	u			no-source;fallback
失	u			no-source;fallback
失信	u			no-source;fallback
失信於人	u			no-source;fallback
失傳	u			no-source;fallback
失憶	u			no-source;fallback
失戀	u			no-source;fallback
失效日期	u			no-source;fallback
失格	u			no-source;fallback
失物招領	u			no-source;fallback
失而復得	u			no-source;fallback
失聯	u			no-source;fallback
失落	u			no-source;fallback
失血過多	u			no-source;fallback
失道寡助	u			no-source;fallback
夾七夾八	u			no-source;fallback
夾手夾腳	u			no-source;fallback
夾緊	u			no-source;fallback
夾起尾巴	u			no-source;fallback
夾雜	u			no-source;fallback
奄奄一息	u			no-source;fallback
奇	u			no-source;fallback
奇妙	u			no-source;fallback
奇怪	u			no-source;fallback
奇文共賞	u			no-source;fallback
奇花異卉	u			no-source;fallback
奇花異草	u			no-source;fallback
奇裝異服	u			no-source;fallback
奇醜無比	u			no-source;fallback
奇門遁甲	u			no-source;fallback
奇風異俗	u			no-source;fallback
奈何	u			no-source;fallback
奉命行事	u			no-source;fallback
奏	u			no-source;fallback
奏鳴曲式	u			no-source;fallback
契媽	u			no-source;fallback
契約	u			no-source;fallback
奔走呼號	u			no-source;fallback
套	u			no-source;fallback
套衫	u			no-source;fallback
奧運	u			no-source;fallback
奪	u			no-source;fallback
奪眶而出	u			no-source;fallback
奪門而出	u			no-source;fallback
奮勇向前	u			no-source;fallback
奮筆疾書	u			no-source;fallback
女中豪傑	u			no-source;fallback
女主人公	u			no-source;fallback
女主角	u			no-source;fallback
女仔	u			no-source;fallback
女友	u			no-source;fallback
女士優先	u			no-source;fallback
女媧補天	u			no-source;fallback
女子	u			no-source;fallback
女孩	u			no-source;fallback
女廁	u			no-source;fallback
女扮男裝	u			no-source;fallback
女校	u			no-source;fallback
女生	u			no-source;fallback
女神	u			no-source;fallback
女繼承人	u			no-source;fallback
女聲	u			no-source;fallback
女足	u			no-source;fallback
奶媽	u			no-source;fallback
奶粉	u			no-source;fallback
奶茶	u			no-source;fallback
奶頭	u			no-source;fallback
奸笑	u			no-source;fallback
奸詐	u			no-source;fallback
她	u			no-source;fallback
她們	u			no-source;fallback
好	u			no-source;fallback
好不容易	u			no-source;fallback
好久	u			no-source;fallback
好事	u			no-source;fallback
好事者	u			no-source;fallback
好人	u			no-source;fallback
好人難做	u			no-source;fallback
好仔	u			no-source;fallback
好似	u			no-source;fallback
好勁	u			no-source;fallback
好勇鬥狠	u			no-source;fallback
好友	u			no-source;fallback
好吃	u			no-source;fallback
好味	u			no-source;fallback
好喫	u			no-source;fallback
好嘢	u			no-source;fallback
好在	u			no-source;fallback
好地地	u			no-source;fallback
好多	u			no-source;fallback
好多人	u			no-source;fallback
好多時	u			no-source;fallback
好大喜功	u			no-source;fallback
好奇	u			no-source;fallback
好奇心	u			no-source;fallback
好好地	u			no-source;fallback
好好睇睇	u			no-source;fallback
好學	u			no-source;fallback
好少	u			no-source;fallback
好幾	u			no-source;fallback
好彩	u			no-source;fallback
好意思	u			no-source;fallback
好易	u			no-source;fallback
好景不常	u			no-source;fallback
