literal	pos	family	voice	note	source	confidence	prior_voice	status	ssot_voice	ssot_pos	verdict	reason
被乘數	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
被加數	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
被動	v		passive	prefix-passive	ssot-patch	medium		empty_voice		v	reject	主動義、技術名、或叫/給/讓
被動免疫	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice		n	reject	主動義、技術名、或叫/給/讓
被告	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
被告人	n		passive	prefix-passive	ssot-patch	medium		empty_voice		n	reject	主動義、技術名、或叫/給/讓
被單	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
被套	v		passive	prefix-passive	ssot-patch	medium		empty_voice		v	reject	主動義、技術名、或叫/給/讓
被子植物	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice		n	reject	主動義、技術名、或叫/給/讓
被子植物門	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
被害人	n		passive	prefix-passive	ssot-patch	medium		empty_voice	passive	n	keep	已在 SSOT passive
被窩	n		passive	prefix-passive	ssot-patch	medium		empty_voice		n	reject	主動義、技術名、或叫/給/讓
被除數	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
被面	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
讓人羨慕	a,v		passive	prefix-passive	ssot-patch	medium		empty_voice		a,v	reject	主動義、技術名、或叫/給/讓
讓位	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
讓先	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
讓利	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
讓半臂	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
讓售	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
讓座	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
讓步	n,v		passive	cow-multi;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
讓賢	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
讓賢與能	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
讓路	v		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice		v	reject	主動義、技術名、或叫/給/讓
讓道	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
讓開	v		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
