literal	pos	family	voice	note	source	confidence
塊錢	u			no-source	fallback	low
一個鐘	u			no-source	fallback	low
一摸	u			no-source	fallback	low
你條	u			no-source	fallback	low
又講	u			no-source	fallback	low
嘉嘉	u			no-source	fallback	low
就講	u			no-source	fallback	low
成病	u			no-source	fallback	low
日本妹	u			no-source	fallback	low
梁曉晴	u			no-source	fallback	low
注定	u			no-source	fallback	low
淡淡	u			no-source	fallback	low
紅都面	u			no-source	fallback	low
講唔	u			no-source	fallback	low
轉個	u			no-source	fallback	low
是嗎	u			no-source	fallback	low
這個問題	n			len4-noun-heuristic	heuristic	medium
的心	u			no-source	fallback	low
把它	u			no-source	fallback	low
有關部門	n			len4-noun-heuristic	heuristic	medium
又要	u			no-source	fallback	low
哪有	u			no-source	fallback	low
傳心	u			no-source	fallback	low
呢條	u			no-source	fallback	low
咗陣	u			no-source	fallback	low
咗響	u			no-source	fallback	low
文傑	u			no-source	fallback	low
曲	v			cow-single	cow	medium
會講	u			no-source	fallback	low
無講	u			no-source	fallback	low
爹	n			cow-single	cow	medium
諸葛象	u			no-source	fallback	low
是要	u			no-source	fallback	low
你不	u			no-source	fallback	low
新浪	u			no-source	fallback	low
來的	u			no-source	fallback	low
是由	u			no-source	fallback	low
好嗎	u			no-source	fallback	low
在我	u			no-source	fallback	low
老蔫	u			no-source	fallback	low
一去	v			verb-suffix	heuristic	medium
一樓	u			no-source	fallback	low
一聽	u			no-source	fallback	low
上到	u			no-source	fallback	low
下回	u			no-source	fallback	low
余二十	u			no-source	fallback	low
依位	u			no-source	fallback	low
問你	u			no-source	fallback	low
尋找	n,v			cow-multi	cow	medium
幾有	u			no-source	fallback	low
憂店	u			no-source	fallback	low
打落	u			no-source	fallback	low
會有	u			no-source	fallback	low
會變	u			no-source	fallback	low
詠雯	u			no-source	fallback	low
講晒	u			no-source	fallback	low
豆豆	u			no-source	fallback	low
返上	v			verb-suffix	heuristic	medium
過你	u			no-source	fallback	low
驚到	u			no-source	fallback	low
是你	u			no-source	fallback	low
這部	u			no-source	fallback	low
給她	u			no-source	fallback	low
纔有	u			no-source	fallback	low
你看	u			no-source	fallback	low
客戶端	u			no-source	fallback	low
都很	u			no-source	fallback	low
小貞好	u			no-source	fallback	low
巨熊	u			no-source	fallback	low
張家琪	u			no-source	fallback	low
行近	u			no-source	fallback	low
阿嵐	u			no-source	fallback	low
餅餅	u			no-source	fallback	low
看完	v			verb-suffix	heuristic	medium
把你	u			no-source	fallback	low
更好地	u			no-source	fallback	low
最重要的	u			no-source	fallback	low
這也是	u			no-source	fallback	low
支付寶	u			no-source	fallback	low
漲停	u			no-source	fallback	low
很大的	u			no-source	fallback	low
之處	u			no-source	fallback	low
咗成	u			no-source	fallback	low
太遲	u			no-source	fallback	low
好長	u			no-source	fallback	low
幾秒	u			no-source	fallback	low
我仲好	u			no-source	fallback	low
我攬	u			no-source	fallback	low
抽出	u			no-source	fallback	low
望到	u			no-source	fallback	low
李天	u			no-source	fallback	low
袋袋	u			no-source	fallback	low
講都	u			no-source	fallback	low
點幾	u			no-source	fallback	low
的一種	u			no-source	fallback	low
越來越多	u			no-source	fallback	low
等你	u			no-source	fallback	low
這點	u			no-source	fallback	low
拿着	u			no-source	fallback	low
啥子	u			no-source	fallback	low
的基礎上	u			no-source	fallback	low
已有	u			no-source	fallback	low
我也是	u			no-source	fallback	low
調用	u			no-source	fallback	low
不讓	u			no-source	fallback	low
一出	u			no-source	fallback	low
一提	u			no-source	fallback	low
人㗎	u			no-source	fallback	low
兩句	u			no-source	fallback	low
同雪琪	u			no-source	fallback	low
小貓	u			no-source	fallback	low
巨乳	u			no-source	fallback	low
思個	u			no-source	fallback	low
我件	u			no-source	fallback	low
我嚇	u			no-source	fallback	low
政仔	u			no-source	fallback	low
有樣	u			no-source	fallback	low
望着	u			no-source	fallback	low
琴琴	u			no-source	fallback	low
用口	u			no-source	fallback	low
畀小貞	u			no-source	fallback	low
翠詩	u			no-source	fallback	low
關你事	u			no-source	fallback	low
難過	v			verb-suffix	heuristic	medium
高高	u			no-source	fallback	low
魔風	u			no-source	fallback	low
的錢	u			no-source	fallback	low
這句話	u			no-source	fallback	low
所說	u			no-source	fallback	low
一羣	u			no-source	fallback	low
你能	u			no-source	fallback	low
億元	u			no-source	fallback	low
寧波	u			no-source	fallback	low
發動機	u			no-source	fallback	low
要把	u			no-source	fallback	low
抱着	u			no-source	fallback	low
仲講	u			no-source	fallback	low
低域	u			no-source	fallback	low
住部	u			no-source	fallback	low
依到	u			no-source	fallback	low
兩個鐘	u			no-source	fallback	low
含住	v			verb-suffix	heuristic	medium
咗人	u			no-source	fallback	low
哩度	u			no-source	fallback	low
套戲	u			no-source	fallback	low
張俊謙	u			no-source	fallback	low
忠	u			no-source	fallback	low
我仲要	u			no-source	fallback	low
我塊面	u			no-source	fallback	low
易面容	u			no-source	fallback	low
朝	v			cow-single	cow	medium
窗外	u			no-source	fallback	low
符紙	u			no-source	fallback	low
臉上	v			verb-suffix	heuristic	medium
行得	u			no-source	fallback	low
裙裙	u			no-source	fallback	low
要將	u			no-source	fallback	low
講喇	u			no-source	fallback	low
講講	u			no-source	fallback	low
返房	u			no-source	fallback	low
牀上	v			verb-suffix	heuristic	medium
好啊	u			no-source	fallback	low
會在	u			no-source	fallback	low
報表	u			no-source	fallback	low
很喜歡	u			no-source	fallback	low
沒有任何	u			no-source	fallback	low
三星	u			no-source	fallback	low
去看	u			no-source	fallback	low
人都	u			no-source	fallback	low
你記	u			no-source	fallback	low
個天	u			no-source	fallback	low
先算	u			no-source	fallback	low
利	u			no-source	fallback	low
十五	x			numeral	heuristic	high
咗部	u			no-source	fallback	low
地將	u			no-source	fallback	low
地用	u			no-source	fallback	low
埋眼	u			no-source	fallback	low
多人	u			no-source	fallback	low
多過	v			verb-suffix	heuristic	medium
夠啦	u			no-source	fallback	low
婉玲	u			no-source	fallback	low
寧風	u			no-source	fallback	low
我扮	u			no-source	fallback	low
敏姨	u			no-source	fallback	low
條頸	u			no-source	fallback	low
由細到	u			no-source	fallback	low
